id,name_ja,name_zh,name_en,type,damage_class,power,accuracy,priority,pp,description_ja,description_zh,description_en,effect_ja,effect_zh,effect_en,learned_by_pokemon,type_id
164,みがわり,替身,substitute,normal,status,,,0,10,自分の　ＨＰを　少し　削って 分身を　だす。 分身は　自分の　身代わりに　なる。,削减少许自己的ＨＰ， 制造分身。 分身将成为自己的替身。,The user creates a substitute for itself using some of its own HP. The substitute serves as the user's decoy.,,,"Transfers 1/4 the user’s max HP into a doll that absorbs damage and causes most negative move effects to fail.  If the user leaves the field, the doll will vanish.  If the user cannot pay the HP cost, this move will fail.  The doll takes damage as normal, using the user’s stats and types, and will break when its HP reaches zero.  Self-inflicted damage from confusion or recoil is not absorbed.  Healing effects from opponents ignore the doll and heal the user as normal.  Moves that work based on the user’s HP still do so; the doll’s HP does not influence any move.  The doll will block major status effects, confusion, and flinching.  The effects of smelling salts and wake up slap do not trigger against a doll, even if the Pokémon behind the doll has the appropriate major status effect.  Multi-turn trapping moves like wrap will hit the doll for their regular damage, but the multi-turn trapping and damage effects will not activate.  Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such, e.g., avalanche, counter, or a rowap berry.  magic coat still works as normal, even against moves the doll would block.  Opposing Pokémon that damage the doll with a leech move like absorb are healed as normal.  It will also block acupressure, block, the curse effect of curse, dream eater, embargo, flatter, gastro acid, grudge, heal block, leech seed, lock on, mean look, mimic, mind reader, nightmare, pain split, psycho shift, spider web, sketch, swagger, switcheroo, trick, worry seed, and yawn.  A Pokémon affected by yawn before summoning the doll will still fall to sleep.  The doll blocks intimidate, but all other abilities act as though the doll did not exist.  If the user has an ability that absorbs moves of a certain type for HP (such as volt absorb absorbing thunder wave), such moves will not be blocked.  life orb and berries that cause confusion still work as normal, but their respective HP loss and confusion are absorbed/blocked by the doll.  The user is still vulnerable to damage inflicted when entering or leaving the field, such as by pursuit or spikes; however, the doll will block the poison effect of toxic spikes.  The doll is passed on by baton pass.  It keeps its existing HP, but uses the replacement Pokémon’s stats and types for damage calculation.  All other effects work as normal.",1242,1
165,わるあがき,挣扎,struggle,normal,physical,50,,0,1,自分の　ＰＰが　なくなると あがいて　相手を　攻撃する。 自分も　少し　ダメージを　受ける。,当自己的ＰＰ耗尽时， 努力挣扎攻击对手。 自己也会受到少许伤害。,This attack is used in desperation only if the user has no PP. It also damages the user a little.,,,"Inflicts typeless regular damage.  User takes 1/4 its max HP in recoil.  Ignores accuracy and evasion modifiers.  This move is used automatically when a Pokémon cannot use any other move legally, e.g., due to having no PP remaining or being under the effect of both encore and torment at the same time.  This move’s recoil is not treated as recoil for the purposes of anything that affects recoil, such as the ability rock head.  It also is not prevented by magic guard.  This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist or metronome, nor forced by encore.",0,1
166,スケッチ,写生,sketch,normal,status,,,0,1,相手が　使った　技を 自分の　ものに　する。 １回　使うと　スケッチは　消える。,将对手使用的招式 变成自己的招式。 使用１次后写生消失。,"This move enables the user to permanently learn the move last used by the target. Once used, Sketch disappears.",,,"Permanently replaces itself with the target’s last used move.  If that move is chatter or struggle, this move will fail.  This move cannot be copied by mimic or mirror move, nor selected by assist or metronome, nor forced by encore.",1,1
167,トリプルキック,三连踢,triple-kick,fighting,physical,10,90,0,10,３回連続で　キックを　くりだして 攻撃する。　技が　当たるたびに 威力は　あがる。,连续３次踢对手进行攻击。 每踢中一次，威力就会提高。,A consecutive three-kick attack that becomes more powerful with each successful hit.,,,"Inflicts regular damage.  Hits three times in the same turn.  The second hit has double power, and the third hit has triple power.  Each hit has a separate accuracy check, and this move stops if a hit misses.  skill link does not apply.",2,2
168,どろぼう,小偷,thief,dark,physical,60,100,0,25,攻撃と　同時に　道具を　盗む。 自分が　道具を　持っている　場合は 盗めない。,攻击的同时盗取道具。 当自己携带道具时， 不会去盗取。,The user attacks and steals the target's held item simultaneously. The user can't steal anything if it already holds an item.,,,"Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.  Pokémon with sticky hold or multitype are immune to the item theft effect.  The target cannot recover its item with recycle.  This move cannot be selected by assist or metronome.",561,17
169,クモのす,蛛网,spider-web,bug,status,,,0,10,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.  The target may still escape by using baton pass, u turn, or a shed shell.  Both the user and the target pass on this effect with baton pass.",7,7
170,こころのめ,心之眼,mind-reader,normal,status,,,0,5,相手の　動きを　心で　感じて 次の　攻撃が　必ず 相手に　当たるように　する。,用心感受对手的行动， 下次攻击必定 会击中对手。,The user senses the target’s movements with its mind to ensure its next attack does not miss the target.,,,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.  One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.  If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.  This effect is passed on by baton pass.",25,1
171,あくむ,恶梦,nightmare,ghost,status,,100,0,15,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,"Only works on sleeping Pokémon.  Gives the target a nightmare, damaging it for 1/4 its max HP every turn.  If the target wakes up or leaves the field, this effect ends.",76,8
172,かえんぐるま,火焰轮,flame-wheel,fire,physical,60,100,0,25,炎を　まとい 相手に　突進して　攻撃する。 やけど状態に　することが　ある。,让火焰覆盖全身， 猛撞向对手进行攻击。 有时会让对手陷入灼伤状态。,The user attacks by cloaking itself in fire and charging at the target. This may also leave the target with a burn.,,,"Inflicts regular damage.  Has a 10% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",32,10
173,いびき,打鼾,snore,normal,special,50,100,0,15,自分が　寝ているときに 雑音を　だして　攻撃する。 相手を　ひるませることが　ある。,在自己睡觉时， 发出噪音进行攻击。 有时会使对手畏缩。,This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.,,,Only usable if the user is sleeping.  Inflicts regular damage.  Has a 30% chance to make the target flinch.,1072,1
174,のろい,诅咒,curse,ghost,status,,,0,10,使う　ポケモンが ゴーストタイプと　それ以外　とでは 効果が　変わる。,使用该招式的宝可梦， 其属性是幽灵属性或其他属性时， 效果会不一样。,A move that has different effects depending on whether the user is a Ghost type or not.,,,"If the user is a ghost: user pays half its max HP to place a curse on the target, damaging it for 1/4 its max HP every turn. Otherwise: Lowers the user’s Speed by one stage, and raises its Attack and Defense by one stage each.  The curse effect is passed on by baton pass.  This move cannot be copied by mirror move.",473,8
175,じたばた,抓狂,flail,normal,physical,,100,0,15,じたばた　暴れて　攻撃する。 自分の　ＨＰが　少ないほど 技の　威力は　あがる。,抓狂般乱打进行攻击。 自己的ＨＰ越少， 招式的威力越大。,"The user flails about aimlessly to attack. The less HP the user has, the greater the move's power.",,,Inflicts regular damage.  Power varies inversely with the user’s proportional remaining HP.  64 * current HP / max HP | Power -----------------------: | ----:  0– 1                    |  200  2– 5                    |  150  6–12                    |  100 13–21                    |   80 22–42                    |   40 43–64                    |   20 ,164,1
176,テクスチャー２,纹理２,conversion-2,normal,status,,,0,30,相手が　最後に　使った技に 抵抗できる　ように 自分の　タイプを　変化させる。,为了可以抵抗对手 最后使用的招式， 从而使自己的属性发生变化。,The user changes its type to make itself resistant to the type of the move the target used last.,,,"Changes the user’s type to a type either resistant or immune to the last damaging move that hit it.  The new type is selected at random and cannot be a type the user already is.  If there is no eligible new type, this move will fail.",3,1
177,エアロブラスト,气旋攻击,aeroblast,flying,special,100,95,0,5,空気の　渦を 発射して　攻撃する。 急所に　当たりやすい。,发射空气旋涡 进行攻击。 容易击中要害。,A vortex of air is shot at the target to inflict damage. This move has a heightened chance of landing a critical hit.,,,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,1,3
178,わたほうし,棉孢子,cotton-spore,grass,status,,100,0,40,綿のような　フワフワの　胞子を まとわり　つかせて 相手の　素早さを　がくっと　さげる。,将棉花般柔软的孢子 紧贴对手， 从而大幅降低对手的速度。,The user releases cotton-like spores that cling to opposing Pokémon. This harshly lowers their Speed stats.,,,Lowers the target’s Speed by two stages.,17,12
179,きしかいせい,起死回生,reversal,fighting,physical,,100,0,15,力を　ふりしぼり　攻撃する。 自分の　ＨＰが　少ないほど 技の　威力は　あがる。,竭尽全力进行攻击。 自己的ＨＰ越少， 招式的威力越大。,An all-out attack that becomes more powerful the less HP the user has.,,,Inflicts regular damage.  Power varies inversely with the user’s proportional remaining HP.  64 * current HP / max HP | Power -----------------------: | ----:  0– 1                    |  200  2– 5                    |  150  6–12                    |  100 13–21                    |   80 22–42                    |   40 43–64                    |   20 ,242,2
180,うらみ,怨恨,spite,ghost,status,,100,0,10,相手が　最後に　使った技に 恨みを　抱いて その技の　ＰＰを　４だけ　減らす。,对对手最后使用的招式 怀有怨恨， 减少４ＰＰ该招式。,The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.,,,"Lowers the PP of the target’s last used move by 4.  If the target hasn’t used a move since entering the field, if it tried to use a move this turn and failed, or if its last used move has 0 PP remaining, this move will fail.",231,8
181,こなゆき,细雪,powder-snow,ice,special,40,100,0,25,冷たい　粉雪を 相手に　吹きつけて　攻撃する。 こおり状態に　することが　ある。,将冰冷的细雪 吹向对手进行攻击。 有时会让对手陷入冰冻状态。,The user attacks with a chilling gust of powdery snow. This may also leave opposing Pokémon frozen.,,,Inflicts regular damage.  Has a 10% chance to freeze the target.,46,15
182,まもる,守住,protect,normal,status,,,4,10,相手の　攻撃を まったく　受けない。 連続で　だすと　失敗しやすい。,完全抵挡 对手的攻击。 连续使出则容易失败。,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.,,,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.  If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.  lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.  thunder during rain dance and blizzard during hail have a 30% chance to break through this move.  The following effects are not prevented by this move:  * acupressure from an ally * curse’s curse effect * Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn * feint, which will also end this move’s protection after it hits * imprison * perish song * shadow force * Moves that merely copy the user, such as transform or psych up  This move cannot be selected by assist or metronome.",1246,1
183,マッハパンチ,音速拳,mach-punch,fighting,physical,40,100,1,30,目にも　留まらぬ　ものすごい　速さで パンチを　くりだす。 必ず　先制攻撃　できる。,以迅雷不及掩耳之势出拳。 必定能够先制攻击。,The user throws a punch at blinding speed. This move always goes first.,,,Inflicts regular damage.,21,2
184,こわいかお,鬼面,scary-face,normal,status,,100,0,10,恐ろしい　顔で　にらみ　おびえさせて 相手の　素早さを　がくっと　さげる。,用恐怖的表情瞪着对手， 使其害怕， 从而大幅降低对手的速度。,The user frightens the target with a scary face to harshly lower its Speed stat.,,,Lowers the target’s Speed by two stages.,429,1
185,だましうち,出奇一击,feint-attack,dark,physical,60,,0,20,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,108,17
186,てんしのキッス,天使之吻,sweet-kiss,fairy,status,,75,0,10,天使のように　かわいく　キスして 相手を　混乱させる。,像天使般可爱地亲吻对手， 从而使对手混乱。,"The user kisses the target with a sweet, angelic cuteness that causes confusion.",,,Confuses the target.,47,18
187,はらだいこ,腹鼓,belly-drum,normal,status,,,0,10,自分の　ＨＰを　最大ＨＰの 半分　減らして　自分の　攻撃を 最大に　あげる。,将自己的ＨＰ减少到 最大ＨＰ的一半， 从而最大限度提高自己的攻击。,The user maximizes its Attack stat but loses HP equal to half its max HP.,,,"User pays half its max HP to raise its Attack to +6 stages.  If the user cannot pay the HP cost, this move will fail.",44,1
188,ヘドロばくだん,污泥炸弹,sludge-bomb,poison,special,90,100,0,10,汚い　ヘドロを 相手に　投げつけて　攻撃する。 毒状態に　することが　ある。,用污泥投掷对手进行攻击。 有时会让对手陷入中毒状态。,The user hurls unsanitary sludge at the target to inflict damage. This may also poison the target.,,,Inflicts regular damage.  Has a 30% chance to poison the target.,205,4
189,どろかけ,掷泥,mud-slap,ground,special,20,100,0,10,相手の　顔などに 泥を　投げつけて　攻撃する。 命中率を　さげる。,向对手的脸等 投掷泥块进行攻击。 会降低对手的命中率。,The user hurls mud in the target's face to inflict damage and lower its accuracy.,,,Inflicts regular damage.  Has a 100% chance to lower the target’s accuracy by one stage.,503,5
190,オクタンほう,章鱼桶炮,octazooka,water,special,65,85,0,10,相手の　顔などに 墨を　吹きかけて　攻撃する。 命中率を　さげることが　ある。,向对手的脸等 喷出墨汁进行攻击。 有时会降低对手的命中率。,The user attacks by spraying ink in the target’s face or eyes. This may also lower the target’s accuracy.,,,Inflicts regular damage.  Has a 50% chance to lower the target’s accuracy by one stage.,4,11
191,まきびし,撒菱,spikes,ground,status,,,0,20,相手の　足下に　まきびしを しかける。交代で　でてきた　相手の ポケモンに　ダメージを　与える。,在对手的脚下扔撒菱。 对替换出场的对手的宝可梦 给予伤害。,The user lays a trap of spikes at the feet of the opposing team. The spikes will damage opposing Pokémon that switch into battle.,,,"Scatters spikes around the opposing field, which damage opposing Pokémon that enter the field for 1/8 of their max HP.  Pokémon immune to ground moves are immune to this damage, except during gravity.  Up to three layers of spikes may be laid down, adding 1/16 to the damage done: two layers of spikes damage for 3/16 max HP, and three layers damage for 1/4 max HP.  wonder guard does not block damage from this effect.  rapid spin removes this effect from its user’s side of the field.  defog removes this effect from its target’s side of the field.",90,5
192,でんじほう,电磁炮,zap-cannon,electric,special,120,50,0,5,大砲の　ような 電気を　発射して　攻撃する。 相手を　まひの　状態に　する。,发射大炮一样的 电流进行攻击。 让对手陷入麻痹状态。,The user attacks by firing an electric blast like a cannon. This also leaves the target with paralysis.,,,Inflicts regular damage.  Has a 100% chance to paralyze the target.,104,13
193,みやぶる,识破,foresight,normal,status,,,0,40,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,Resets the target’s evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.,57,1
194,みちづれ,同命,destiny-bond,ghost,status,,,0,5,技のあと　相手の　攻撃で　ひんしに なると　攻撃　相手も　ひんしにする。 連続して　出すと　失敗する。,使出招式后，当受到对手攻击 陷入濒死时，对手也会一同濒死。 连续使出则会失败。,"If the user is knocked out after using this move, the Pokémon that knocked it out will also faint. This move's chance of failing rises if it is used in succession.",,,"If the user faints before its next move, the Pokémon that fainted it will automatically faint.  End-of-turn damage is ignored.  This move cannot be selected by assist or metronome.",57,8
195,ほろびのうた,灭亡之歌,perish-song,normal,status,,,0,5,歌を　聴いた　ポケモンは ３ターン　たつと　ひんしに　なる。 交代すると　効果は　なくなる。,倾听歌声的宝可梦 经过３回合陷入濒死。 替换后效果消失。,"Any Pokémon that hears this song faints in three turns, unless it switches out of battle.",,,"Every Pokémon is given a counter that starts at 3 and decreases by 1 at the end of every turn, including this one.  When a Pokémon’s counter reaches zero, that Pokémon faints.  A Pokémon that leaves the field will lose its counter; its replacement does not inherit the effect, and other Pokémon’s counters remain.  This effect is passed on by baton pass.  This move cannot be copied by mirror move.",32,1
196,こごえるかぜ,冰冻之风,icy-wind,ice,special,55,95,0,15,凍てつく　冷気を 相手に　吹きつけて　攻撃する。 相手の　素早さを　さげる。,将结冰的冷气 吹向对手进行攻击。 会降低对手的速度。,The user attacks with a gust of chilled air. This also lowers opposing Pokémon's Speed stats.,,,Inflicts regular damage.  Has a 100% chance to lower the target’s Speed by one stage.,370,15
197,みきり,看穿,detect,fighting,status,,,4,5,相手の　攻撃を まったく　受けない。 連続で　だすと　失敗しやすい。,完全抵挡 对手的攻击。 连续使出则容易失败。,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.,,,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.  If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.  lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.  thunder during rain dance and blizzard during hail have a 30% chance to break through this move.  The following effects are not prevented by this move:  * acupressure from an ally * curse’s curse effect * Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn * feint, which will also end this move’s protection after it hits * imprison * perish song * shadow force * Moves that merely copy the user, such as transform or psych up  This move cannot be selected by assist or metronome.",159,2
198,ボーンラッシュ,骨棒乱打,bone-rush,ground,physical,25,90,0,10,硬い　ホネで 相手を　なぐりつけて　攻撃する。 ２ー５回の　間　連続で　だす。,用坚硬的骨头 殴打对手进行攻击。 连续攻击２～５次。,The user attacks by striking the target with a hard bone. This move hits two to five times in a row.,,,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",7,5
199,ロックオン,锁定,lock-on,normal,status,,,0,5,照準を　しっかり　あわせて 次の　攻撃が　必ず 相手に　当たるように　する。,紧紧瞄准对手， 下次攻击必定会打中。,The user takes sure aim at the target. This ensures the user's next move does not miss that target.,,,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.  One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.  If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.  This effect is passed on by baton pass.",24,1
200,げきりん,逆鳞,outrage,dragon,physical,120,100,0,10,２ー３ターンの　間 暴れまくって　攻撃する。 暴れたあとは　混乱する。,在２～３回合内， 乱打一气地进行攻击。 大闹一番后自己会陷入混乱。,The user rampages and attacks for two to three turns. The user then becomes confused.,,,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.  safeguard does not protect against the confusion from this move.",219,16
201,すなあらし,沙暴,sandstorm,rock,status,,,0,10,５ターンの　間　砂あらしで　いわ じめん　はがねタイプ　以外に　ダメージ。 いわタイプの　特防が　あがる。,在５回合内扬起沙暴，除岩石、地面和 钢属性以外的宝可梦，都会受到伤害。 岩石属性的特防还会提高。,"A five-turn sandstorm is summoned to damage all Pokémon except Rock, Ground, and Steel types. The sandstorm also boosts the Sp. Def stats of Rock types.",,,"Changes the weather to a sandstorm for five turns.  Pokémon that are not ground, rock, or steel take 1/16 their max HP at the end of every turn.  Every rock Pokémon’s original Special Defense is raised by 50% for the duration of this effect.  solar beam’s power is halved.  moonlight, morning sun, and synthesis only heal 1/4 the user’s max HP.",329,6
202,ギガドレイン,终极吸取,giga-drain,grass,special,75,100,0,10,養分を　吸い取り　攻撃する。 与えた　ダメージの 半分の　ＨＰを　回復できる。,吸取对手的养分进行攻击。 可以回复给予对手 伤害的一半ＨＰ。,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,,,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,253,12
203,こらえる,挺住,endure,normal,status,,,4,10,攻撃を　受けても ＨＰを　必ず　１だけ　残せる。 連続で　だすと　失敗しやすい。,即使受到攻击， 也至少会留下１ＨＰ。 连续使出则容易失败。,The user endures any attack with at least 1 HP. This move's chance of failing rises if used in succession.,,,"The user’s HP cannot be lowered below 1 by any means for the remainder of this turn.  If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.  This move cannot be selected by assist or metronome.",1161,1
204,あまえる,撒娇,charm,fairy,status,,100,0,20,かわいく　みつめて　油断を　誘い 相手の　攻撃を　がくっと　さげる。,可爱地凝视， 诱使对手疏忽大意， 从而大幅降低对手的攻击。,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target's Attack stat.",,,Lowers the target’s Attack by two stages.,266,18
205,ころがる,滚动,rollout,rock,physical,30,90,0,20,５ターンの　間　転がり続けて 攻撃する。　技が　当たるたびに 威力が　あがる。,在５回合内连续滚动攻击对手。 招式每次击中，威力就会提高。,The user continually rolls into the target over five turns. This attack becomes more powerful each time it hits.,,,"Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.  If the user has used defense curl since entering the field, this move has double power.",209,6
206,みねうち,点到为止,false-swipe,normal,physical,40,100,0,40,相手の　ＨＰが 必ず　１だけ　残るように 手加減して　攻撃する。,对手的ＨＰ 至少会留下１ＨＰ， 如此般手下留情地攻击。,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.,,,Inflicts regular damage.  Will not reduce the target’s HP below 1.,153,1
207,いばる,虚张声势,swagger,normal,status,,85,0,15,相手を　怒らせて　混乱させる。 怒りで　相手の　攻撃は ぐーんと　あがってしまう。,激怒对手，使其混乱。 因为愤怒，对手的攻击 会大幅提高。,"The user enrages and confuses the target. However, this also sharply boosts the target's Attack stat.",,,"Raises the target’s Attack by two stages, then confuses it.  If the target’s Attack cannot be raised by two stages, the confusion is not applied.",969,1
208,ミルクのみ,喝牛奶,milk-drink,normal,status,,,0,5,最大ＨＰの　半分 自分の　ＨＰを　回復する。,回复自己最大ＨＰ的一半。,The user restores its own HP by up to half its max HP.,,,Heals the user for half its max HP.,3,1
209,スパーク,电光,spark,electric,physical,65,100,0,20,電気を　まとい 相手に　突進して　攻撃する。 まひ状態に　することが　ある。,让电流覆盖全身， 猛撞向对手进行攻击。 有时会让对手陷入麻痹状态。,The user attacks the target with an electrically charged tackle. This may also leave the target with paralysis.,,,Inflicts regular damage.  Has a 30% chance to paralyze the target.,79,13
210,れんぞくぎり,连斩,fury-cutter,bug,physical,40,95,0,20,カマや　ツメなどで　相手を 切りつけて　攻撃する。 連続で　当てると　威力が　あがる。,用镰刀或爪子等 切斩对手进行攻击。 连续击中，威力就会提高。,"The user attacks by slashing the target with scythes, claws, or the like. This attack becomes more powerful if it hits in succession.",,,"Inflicts regular damage.  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the field, power resets.",170,7
211,はがねのつばさ,钢翼,steel-wing,steel,physical,70,90,0,25,硬い　翼を　相手に　たたきつけて 攻撃する。　自分の　防御が あがることが　ある。,用坚硬的翅膀敲打 对手进行攻击。 有时会提高自己的防御。,The target is hit with wings of steel. This may also boost the user's Defense stat.,,,Inflicts regular damage. Has a 10% chance to raise the user’s Defense one stage.,118,9
212,くろいまなざし,黑色目光,mean-look,normal,status,,,0,5,吸いこまれるような　黒い　まなざしで じっと　みつめて　相手を 戦闘から　逃げられなくする。,用好似要勾人心魂的黑色目光 一动不动地凝视对手， 使其不能从战斗中逃走。,"The user pins the target with a dark, arresting look. The target becomes unable to flee.",,,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.  The target may still escape by using baton pass, u turn, or a shed shell.  Both the user and the target pass on this effect with baton pass.",52,1
213,メロメロ,迷人,attract,normal,status,,100,0,15,♂なら♀を　♀なら♂を　誘惑して メロメロに　する。 相手は　技が　だしにくくなる。,♂诱惑♀或♀诱惑♂， 让对手着迷。 对手将很难使出招式。,"If the target is of the opposite gender to the user, it becomes infatuated with the user and will sometimes be unable to use its moves.",,,"Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pokémon leaves the field, this effect ends.",917,1
214,ねごと,梦话,sleep-talk,normal,status,,,0,10,自分が　おぼえている　技の　うち どれか　１つを　くりだす。 自分が　寝ているときだけ　使える。,从自己已学会的招式中 任意使出１个。 只能在自己睡觉时使用。,The user randomly uses one of the moves it knows. This move can only be used while the user is asleep.,,,"Only usable if the user is sleeping.  Randomly selects and uses one of the user’s other three moves.  Use of the selected move requires and costs 0 PP.  This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar.  If the selected move requires a recharge turn—i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker—and the user is still sleeping next turn, then it’s forced to use this move again and pay another PP for the recharge turn.  This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",1239,1
215,いやしのすず,治愈铃声,heal-bell,normal,status,,,0,5,心地好い　鈴の　音色を　聞かせて 味方　全員の 状態異常を　回復　する。,让同伴听舒适的铃音， 从而治愈我方全员的异常状态。,The user makes a soothing bell chime to cure the status conditions of all its fellow party Pokémon and allies.,,,Removes major status effects and confusion from every Pokémon in the user’s party.,87,1
216,おんがえし,报恩,return,normal,physical,,100,0,20,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,"Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",942,1
217,プレゼント,礼物,present,normal,physical,,90,0,15,わなを　しかけた　箱を 相手に　わたして　攻撃する。ＨＰが 回復して　しまうことも　ある。,递给对手设有圈套的 盒子进行攻击。 也有可能回复对手ＨＰ。,"The user attacks by giving the target a gift with a hidden trap. The gift restores HP sometimes, however.",,,"Randomly uses one of the following effects.  Effect                                             | Chance -------------------------------------------------- | -----: Inflicts regular damage with 40 power  |    40% Inflicts regular damage with 80 power  |    30% Inflicts regular damage with 120 power |    10% Heals the target for 1/4 its max HP    |    20%  On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP.",18,1
218,やつあたり,迁怒,frustration,normal,physical,,100,0,20,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,"Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",942,1
219,しんぴのまもり,神秘守护,safeguard,normal,status,,,0,25,５ターンの　間 不思議な　力に　守られて 状態異常に　ならなくなる。,在５回合内 被神奇的力量守护， 从而不会陷入异常状态。,The user creates a protective field that prevents status conditions for five turns.,,,"Protects Pokémon on the user’s side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.  If yawn is used while this move is in effect, it will immediately fail.  defog used by an opponent will end this effect.  This effect does not prevent the confusion caused by outrage, petal dance, or thrash.",344,1
