id,name_ja,name_zh,name_en,category,fling_power,fling_effect,description_ja,description_zh,description_en,image_path
229,アップグレード,升级数据,up-grade,evolution,30,,中に　いろんな　情報が つまった　透明な　機械。 シルフ　カンパニー製。,内部储存了各种信息的透明机器。 西尔佛公司制造。,A transparent device somehow filled with all sorts of data. It was produced by Silph Co.,heldItemImage/up-grade.png
230,かいがらのすず,贝壳之铃,shell-bell,held-items,30,,持たせた　ポケモンが　攻撃して 相手に　ダメージを　あたえたとき ＨＰを　少し　回復できる。,当携带它的宝可梦 攻击对手并造成伤害时， 能回复少量ＨＰ。,An item to be held by a Pokémon. The holder restores a little HP every time it inflicts damage on others.,heldItemImage/shell-bell.png
231,うしおのおこう,海潮薰香,sea-incense,type-enhancement,10,,不思議な　香りの　御香。 持たせると　みずタイプの 技の　威力が　あがる。,有着神奇香气的薰香。 携带后，水属性的 招式威力就会提高。,An item to be held by a Pokémon. This incense has a curious aroma that boosts the power of Water-type moves.,heldItemImage/sea-incense.png
232,のんきのおこう,悠闲薰香,lax-incense,held-items,10,,持たせると　御香の　不思議な 香りが　相手を　まどわせて 技が　命中　しにくくなる。,携带后，薰香的 神奇香气会迷惑对手， 其招式会变得不容易命中。,An item to be held by a Pokémon. The beguiling aroma of this incense may cause attacks to miss its holder.,heldItemImage/lax-incense.png
233,ラッキーパンチ,吉利拳,lucky-punch,species-specific,40,,幸運を　よぶ　グローブ。 ラッキーに　持たせると　技が 急所に　当たりやすくなる。,能带来幸运的拳套。 让吉利蛋携带后， 招式会变得容易击中要害。,An item to be held by Chansey. This pair of lucky boxing gloves will boost Chansey’s critical-hit ratio.,heldItemImage/lucky-punch.png
234,メタルパウダー,金属粉,metal-powder,species-specific,10,,メタモンに　持たせると　防御が あがる　不思議な粉。 とても　こまかくて　硬い。,让百变怪携带后， 防御就会提高的神奇粉末。 非常细腻坚硬。,"An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Defense stat.",heldItemImage/metal-powder.png
235,ふといホネ,粗骨头,thick-club,species-specific,90,,なにかの　硬い　ホネ。 カラカラ　または　ガラガラに 持たせると　攻撃が　あがる。,某种坚硬的骨头。 让卡拉卡拉或嘎啦嘎啦携带后， 攻击就会提高。,An item to be held by Cubone or Marowak. It’s a hard bone of some sort that boosts the Attack stat.,heldItemImage/thick-club.png
236,ながねぎ,大葱,stick,species-specific,60,,とても　長くて　硬い　クキ。 カモネギに　持たせると　技が 急所に　当たりやすくなる。,非常长且坚硬的茎。 让大葱鸭携带后， 招式会变得容易击中要害。,An item to be held by Farfetch’d. This very long and stiff stalk of leek boosts its critical-hit ratio.,heldItemImage/stick.png
237,あかいバンダナ,红色头巾,red-scarf,scarves,10,,持たせて　コンテストに　参加すると その　ポケモンは　いつもより かっこよく　みられる。,携带它去参加华丽大赛的 宝可梦会比平时 看上去更加帅气。,"An item to be held by a Pokémon. During a contest, it raises the Cool aspect of the Pokémon holding it.",heldItemImage/red-scarf.png
238,あおいバンダナ,蓝色头巾,blue-scarf,scarves,10,,持たせて　コンテストに　参加すると その　ポケモンは　いつもより うつくしく　みられる。,携带它去参加华丽大赛的 宝可梦会比平时 看上去更加美丽。,"An item to be held by a Pokémon. During a contest, it raises the Beauty aspect of the Pokémon holding it.",heldItemImage/blue-scarf.png
239,ピンクのバンダナ,粉红头巾,pink-scarf,scarves,10,,持たせて　コンテストに　参加すると その　ポケモンは　いつもより かわいく　みられる。,携带它去参加华丽大赛的 宝可梦会比平时 看上去更加可爱。,"An item to be held by a Pokémon. During a contest, it raises the Cute aspect of the Pokémon holding it.",heldItemImage/pink-scarf.png
240,みどりのバンダナ,绿色头巾,green-scarf,scarves,10,,持たせて　コンテストに　参加すると その　ポケモンは　いつもより かしこく　みられる。,携带它去参加华丽大赛的 宝可梦会比平时 看上去更加聪明。,"An item to be held by a Pokémon. During a contest, it raises the Clever aspect of the Pokémon holding it.",heldItemImage/green-scarf.png
241,きいろのバンダナ,黄色头巾,yellow-scarf,scarves,10,,持たせて　コンテストに　参加すると その　ポケモンは　いつもより たくましく　みられる。,携带它去参加华丽大赛的 宝可梦会比平时 看上去更加强壮。,"An item to be held by a Pokémon. During a contest, it raises the Tough aspect of the Pokémon holding it.",heldItemImage/yellow-scarf.png
242,こうかくレンズ,广角镜,wide-lens,held-items,10,,ものが　大きく　みえる　レンズ。 持たせると　技の　命中率が 少し　あがる。,能放大观看物体的镜片。 携带后，招式的命中率 就会少量提高。,An item to be held by a Pokémon. It’s a magnifying lens that slightly boosts the accuracy of moves.,heldItemImage/wide-lens.png
243,ちからのハチマキ,力量头带,muscle-band,held-items,10,,ちからが　わいてくる　ハチマキ。 持たせると　物理技の 威力が　少し　あがる。,力如泉涌的头带。 携带后，物理招式的 威力就会少量提高。,"An item to be held by a Pokémon. This headband exudes strength, slightly boosting the power of physical moves.",heldItemImage/muscle-band.png
244,ものしりメガネ,博识眼镜,wise-glasses,held-items,10,,ぶあつい　レンズの　ついた　メガネ。 持たせると　特殊技の 威力が　少し　あがる。,装着很厚镜片的眼镜。 携带后，特殊招式的 威力就会少量提高。,An item to be held by a Pokémon. This thick pair of glasses slightly boosts the power of special moves.,heldItemImage/wise-glasses.png
245,たつじんのおび,达人带,expert-belt,held-items,10,,使いこまれた　黒い　帯。 持たせると　効果バツグンの　とき 技の　威力が　少し　あがる。,用惯了的黑色带子。 携带后，效果绝佳时的 招式威力就会少量提高。,An item to be held by a Pokémon. It’s a well-worn belt that slightly boosts the power of supereffective moves.,heldItemImage/expert-belt.png
246,ひかりのねんど,光之黏土,light-clay,held-items,30,,持たせた　ポケモンが　ひかりのかべや リフレクターを　使ったとき いつもよりも　長く　残る。,当携带它的宝可梦 使出光墙或反射壁时， 效果会比平时持续得更长。,An item to be held by a Pokémon. Protective moves like Light Screen and Reflect will be effective longer.,heldItemImage/light-clay.png
247,いのちのたま,生命宝珠,life-orb,held-items,30,,持たせると　攻撃する　たびに ＨＰが　少し　減ってしまうが 技の　威力が　あがる。,携带后，虽然每次攻击时 ＨＰ少量减少， 但招式的威力会提高。,An item to be held by a Pokémon. It boosts the power of moves but at the cost of some HP on each hit.,heldItemImage/life-orb.png
248,パワフルハーブ,强力香草,power-herb,held-items,10,,持たせた　ポケモンは　１度だけ １ターン目に　ちからを　ためる技を すぐに　使うことが　できる。,携带它的宝可梦仅有１次机会 可以在第１回合使出 需要蓄力的招式。,A single-use item to be held by a Pokémon. It allows the holder to immediately use a move that normally requires a turn to charge.,heldItemImage/power-herb.png
249,どくどくだま,剧毒宝珠,toxic-orb,bad-held-items,30,badly-poison,触ると　毒をだす　不思議な玉。 持たせると　戦闘中に 猛毒の　状態に　なる。,触碰后会放出毒的神奇宝珠。 携带后，在战斗时会变成剧毒状态。,An item to be held by a Pokémon. It’s a bizarre orb that will badly poison the holder during battle.,heldItemImage/toxic-orb.png
250,かえんだま,火焰宝珠,flame-orb,bad-held-items,30,burn,触ると　熱をだす　不思議な玉。 持たせると　戦闘中に やけどの　状態に　なる。,触碰后会放出热量的神奇宝珠。 携带后，在战斗时会变成灼伤状态。,An item to be held by a Pokémon. It’s a bizarre orb that will afflict the holder with a burn during battle.,heldItemImage/flame-orb.png
251,スピードパウダー,速度粉,quick-powder,species-specific,10,,メタモンに　持たせると　素早さが あがる　不思議な粉。 とても　こまかくて　硬い。,让百变怪携带后， 速度就会提高的神奇粉末。 非常细腻坚硬。,"An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Speed stat.",heldItemImage/quick-powder.png
252,きあいのタスキ,气势披带,focus-sash,held-items,10,,持たせると　ＨＰが　満タンのとき ひんしになりそうな　技を　受けても ＨＰ１で　１度だけ　耐える。,携带后，在ＨＰ全满时， 即便受到可能会导致濒死的招式， 也能仅以１ＨＰ撑过去１次。,"An item to be held by a Pokémon. If the holder has full HP, it will endure a potential KO attack with 1 HP. The item then disappears.",heldItemImage/focus-sash.png
253,フォーカスレンズ,对焦镜,zoom-lens,held-items,10,,持たせた　ポケモンが　相手よりも 行動するのが　遅いとき 技が　命中しやすくなる。,当携带它的宝可梦比 对手行动迟缓时， 招式会变得容易命中。,"An item to be held by a Pokémon. If the holder moves after its target moves, its accuracy will be boosted.",heldItemImage/zoom-lens.png
254,メトロノーム,节拍器,metronome,held-items,30,,持たせると　同じ技を　連続で 使ったとき　威力が　あがる。 やめると　威力は　もどる。,携带后，连续使出相同招式时， 威力就会提高。不再使出 相同招式时，威力就会复原。,An item to be held by a Pokémon. It boosts moves used consecutively but only until a different move is used.,heldItemImage/metronome.png
255,くろいてっきゅう,黑色铁球,iron-ball,bad-held-items,130,,持たせると　素早さが　さがる。 ひこうタイプや　ふゆう　ポケモンは じめん技が　当たってしまう。,携带后，速度会降低。 飞行属性以及飘浮宝可梦 会被地面招式击中。,An item to be held by a Pokémon. It lowers Speed and allows Ground-type moves to hit Flying types and holders that are levitating.,heldItemImage/iron-ball.png
256,こうこうのしっぽ,后攻之尾,lagging-tail,bad-held-items,10,,とても　重たい　なにかの　しっぽ。 持たせると　いつもより　行動が 遅くなる。,非常沉重的某种尾巴。 携带后，行动会比平时更加迟缓。,An item to be held by a Pokémon. It is tremendously heavy and makes the holder move slower than usual.,heldItemImage/lagging-tail.png
257,あかいいと,红线,destiny-knot,held-items,10,,細くて　長い　真っ赤な　糸。 持たせると　メロメロに　なったとき 相手も　メロメロに　できる。,长长的鲜红色细线。 携带后，在自己着迷时 能让对手也着迷。,"An item to be held by a Pokémon. If the holder becomes infatuated, the opposing Pokémon will be, too.",heldItemImage/destiny-knot.png
258,くろいヘドロ,黑色污泥,black-sludge,held-items,30,,持たせると　どくタイプの　ポケモンは 少しずつ　ＨＰを　回復する。 それ以外は　ＨＰが　減ってしまう。,携带后，毒属性的宝可梦 会缓缓回复ＨＰ。 其他属性的话，ＨＰ则会减少。,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.,heldItemImage/black-sludge.png
259,つめたいいわ,冰冷岩石,icy-rock,held-items,40,,持たせた　ポケモンが　あられを 使うと　いつもより　あられの 時間が　長くなる。,携带它的宝可梦使出冰雹的话， 冰雹的时间就会比平时更长。,An item to be held by a Pokémon. It extends the duration of the move Hail when used by the holder.,heldItemImage/icy-rock.png
260,さらさらいわ,沙沙岩石,smooth-rock,held-items,10,,持たせた　ポケモンが　すなあらしを 使うと　いつもより　すなあらしの 時間が　長くなる。,携带它的宝可梦使出沙暴的话， 沙暴的时间就会比平时更长。,An item to be held by a Pokémon. It extends the duration of the move Sandstorm when used by the holder.,heldItemImage/smooth-rock.png
261,あついいわ,炽热岩石,heat-rock,held-items,60,,持たせた　ポケモンが　にほんばれを 使うと　いつもより　はれの 時間が　長くなる。,携带它的宝可梦使出大晴天的话， 晴天的时间就会比平时更长。,An item to be held by a Pokémon. It extends the duration of the move Sunny Day when used by the holder.,heldItemImage/heat-rock.png
262,しめったいわ,潮湿岩石,damp-rock,held-items,60,,持たせた　ポケモンが　あまごいを 使うと　いつもより　あめの 時間が　長くなる。,携带它的宝可梦使出求雨的话， 下雨的时间就会比平时更长。,An item to be held by a Pokémon. It extends the duration of the move Rain Dance when used by the holder.,heldItemImage/damp-rock.png
263,ねばりのかぎづめ,紧缠钩爪,grip-claw,held-items,90,,持たせると　しめつける　まきつくなど ダメージを　あたえつづける　技の ターン数が　増える。,携带后，绑紧以及紧束等 会持续造成伤害的招式的 回合数会增加。,"An item to be held by a Pokémon. It extends the duration of multi-turn attacks, such as Bind and Wrap.",heldItemImage/grip-claw.png
264,こだわりスカーフ,讲究围巾,choice-scarf,choice,10,,ちょっと　こだわった　スカーフ。 持たせると　素早さは　あがるが 同じ　技しか　だせなくなる。,有点讲究的围巾。 虽然携带后速度会提高， 但只能使出相同的招式。,An item to be held by a Pokémon. This curious scarf boosts Speed but only allows the use of one move.,heldItemImage/choice-scarf.png
265,くっつきバリ,附着针,sticky-barb,bad-held-items,80,,持たせると　毎ターン　ダメージを 受ける。　自分に　ふれてきた 相手に　くっつくことも　ある。,携带后，每回合都会受到伤害。 有时也会附着到 碰到自己的对手身上。,An item to be held by a Pokémon. It damages the holder every turn and may latch on to Pokémon that touch the holder.,heldItemImage/sticky-barb.png
266,パワーリスト,力量护腕,power-bracer,effort-training,70,,持たせると　素早さが　さがるが ふつうよりも　ポケモンの　攻撃が 高く　育ちやすい。,虽然携带后速度会降低， 但宝可梦的攻击 会比平时成长得更高。,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Attack stat to grow more after battling.,heldItemImage/power-bracer.png
267,パワーベルト,力量腰带,power-belt,effort-training,70,,持たせると　素早さが　さがるが ふつうよりも　ポケモンの　防御が 高く　育ちやすい。,虽然携带后速度会降低， 但宝可梦的防御 会比平时成长得更高。,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Defense stat to grow more after battling.,heldItemImage/power-belt.png
268,パワーレンズ,力量镜,power-lens,effort-training,70,,持たせると　素早さが　さがるが ふつうよりも　ポケモンの　特攻が 高く　育ちやすい。,虽然携带后速度会降低， 但宝可梦的特攻 会比平时成长得更高。,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Sp. Atk stat to grow more after battling.,heldItemImage/power-lens.png
269,パワーバンド,力量束带,power-band,effort-training,70,,持たせると　素早さが　さがるが ふつうよりも　ポケモンの　特防が 高く　育ちやすい。,虽然携带后速度会降低， 但宝可梦的特防 会比平时成长得更高。,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Sp. Def stat to grow more after battling.,heldItemImage/power-band.png
270,パワーアンクル,力量护踝,power-anklet,effort-training,70,,持たせると　素早さが　さがるが ふつうよりも　ポケモンの　素早さが 高く　育ちやすい。,虽然携带后速度会降低， 但宝可梦的速度 会比平时成长得更高。,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Speed stat to grow more after battling.,heldItemImage/power-anklet.png
271,パワーウエイト,力量负重,power-weight,effort-training,70,,持たせると　素早さが　さがるが ふつうよりも　ポケモンの　ＨＰが 高く　育ちやすい。,虽然携带后速度会降低， 但宝可梦的ＨＰ 会比平时成长得更高。,An item to be held by a Pokémon. It reduces Speed but allows the holder’s max HP to grow more after battling.,heldItemImage/power-weight.png
272,きれいなぬけがら,美丽空壳,shed-shell,held-items,10,,丈夫で　硬い　ぬけがら。 持たせた　ポケモンは　控えの ポケモンと　必ず　いれかわれる。,结实坚硬的空壳。 携带它的宝可梦必定可以 和后备的宝可梦进行替换。,An item to be held by a Pokémon. This discarded carapace enables the holder to switch out of battle without fail.,heldItemImage/shed-shell.png
273,おおきなねっこ,大根茎,big-root,held-items,10,,持たせると　ＨＰを　吸いとる　技で いつもより　おおく　自分の　ＨＰを 回復できる。,携带后，吸取ＨＰ的招式 可以比平时更多地回复自己的ＨＰ。,An item to be held by a Pokémon. It boosts the amount of HP the holder restores from HP-stealing moves.,heldItemImage/big-root.png
274,こだわりメガネ,讲究眼镜,choice-specs,choice,10,,ちょっと　こだわった　メガネ。 持たせると　特攻は　あがるが 同じ　技しか　だせなくなる。,有点讲究的眼镜。 虽然携带后特攻会提高， 但只能使出相同的招式。,An item to be held by a Pokémon. These curious glasses boost Sp. Atk but only allow the use of one move.,heldItemImage/choice-specs.png
275,ひのたまプレート,火球石板,flame-plate,plates,90,,ほのおの　タイプの　石盤。 持たせると　ほのおタイプの 技の　威力が　強まる。,火属性的石板。 携带后，火属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Fire-type moves.,heldItemImage/flame-plate.png
276,しずくプレート,水滴石板,splash-plate,plates,90,,みずの　タイプの　石盤。 持たせると　みずタイプの 技の　威力が　強まる。,水属性的石板。 携带后，水属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Water-type moves.,heldItemImage/splash-plate.png
277,いかずちプレート,雷电石板,zap-plate,plates,90,,でんきの　タイプの　石盤。 持たせると　でんきタイプの 技の　威力が　強まる。,电属性的石板。 携带后，电属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Electric-type moves.,heldItemImage/zap-plate.png
278,みどりのプレート,碧绿石板,meadow-plate,plates,90,,くさの　タイプの　石盤。 持たせると　くさタイプの 技の　威力が　強まる。,草属性的石板。 携带后，草属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Grass-type moves.,heldItemImage/meadow-plate.png
279,つららのプレート,冰柱石板,icicle-plate,plates,90,,こおりの　タイプの　石盤。 持たせると　こおりタイプの 技の　威力が　強まる。,冰属性的石板。 携带后，冰属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Ice-type moves.,heldItemImage/icicle-plate.png
280,こぶしのプレート,拳头石板,fist-plate,plates,90,,かくとうの　タイプの　石盤。 持たせると　かくとうタイプの 技の　威力が　強まる。,格斗属性的石板。 携带后，格斗属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Fighting-type moves.,heldItemImage/fist-plate.png
281,もうどくプレート,剧毒石板,toxic-plate,plates,90,,どくの　タイプの　石盤。 持たせると　どくタイプの 技の　威力が　強まる。,毒属性的石板。 携带后，毒属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Poison-type moves.,heldItemImage/toxic-plate.png
282,だいちのプレート,大地石板,earth-plate,plates,90,,じめんの　タイプの　石盤。 持たせると　じめんタイプの 技の　威力が　強まる。,地面属性的石板。 携带后，地面属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Ground-type moves.,heldItemImage/earth-plate.png
283,あおぞらプレート,蓝天石板,sky-plate,plates,90,,ひこうの　タイプの　石盤。 持たせると　ひこうタイプの 技の　威力が　強まる。,飞行属性的石板。 携带后，飞行属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Flying-type moves.,heldItemImage/sky-plate.png
284,ふしぎのプレート,神奇石板,mind-plate,plates,90,,エスパーの　タイプの　石盤。 持たせると　エスパータイプの 技の　威力が　強まる。,超能力属性的石板。 携带后，超能力属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Psychic-type moves.,heldItemImage/mind-plate.png
285,たまむしプレート,玉虫石板,insect-plate,plates,90,,むしの　タイプの　石盤。 持たせると　むしタイプの 技の　威力が　強まる。,虫属性的石板。 携带后，虫属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Bug-type moves.,heldItemImage/insect-plate.png
286,がんせきプレート,岩石石板,stone-plate,plates,90,,いわの　タイプの　石盤。 持たせると　いわタイプの 技の　威力が　強まる。,岩石属性的石板。 携带后，岩石属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Rock-type moves.,heldItemImage/stone-plate.png
287,もののけプレート,妖怪石板,spooky-plate,plates,90,,ゴーストの　タイプの　石盤。 持たせると　ゴーストタイプの 技の　威力が　強まる。,幽灵属性的石板。 携带后，幽灵属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Ghost-type moves.,heldItemImage/spooky-plate.png
288,りゅうのプレート,龙之石板,draco-plate,plates,90,,ドラゴンの　タイプの　石盤。 持たせると　ドラゴンタイプの 技の　威力が　強まる。,龙属性的石板。 携带后，龙属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Dragon-type moves.,heldItemImage/draco-plate.png
289,こわもてプレート,恶颜石板,dread-plate,plates,90,,あくの　タイプの　石盤。 持たせると　あくタイプの 技の　威力が　強まる。,恶属性的石板。 携带后，恶属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Dark-type moves.,heldItemImage/dread-plate.png
290,こうてつプレート,钢铁石板,iron-plate,plates,90,,はがねの　タイプの　石盤。 持たせると　はがねタイプの 技の　威力が　強まる。,钢属性的石板。 携带后，钢属性的 招式威力就会增强。,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Steel-type moves.,heldItemImage/iron-plate.png
291,あやしいおこう,奇异薰香,odd-incense,type-enhancement,10,,不思議な　香りの　御香。 持たせると　エスパータイプの 技の　威力が　あがる。,有着神奇香气的薰香。 携带后，超能力属性的 招式威力就会提高。,An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Psychic-type moves.,heldItemImage/odd-incense.png
292,がんせきおこう,岩石薰香,rock-incense,type-enhancement,10,,不思議な　香りの　御香。 持たせると　いわタイプの 技の　威力が　あがる。,有着神奇香气的薰香。 携带后，岩石属性的 招式威力就会提高。,An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Rock-type moves.,heldItemImage/rock-incense.png
293,まんぷくおこう,饱腹薰香,full-incense,bad-held-items,10,,不思議な　香りの　御香。 持たせた　ポケモンは　いつもより 行動が　遅くなる。,有着神奇香气的薰香。 携带后，宝可梦的行动 会比平时更加迟缓。,An item to be held by a Pokémon. This exotic-smelling incense makes the holder bloated and slow moving.,heldItemImage/full-incense.png
294,さざなみのおこう,涟漪薰香,wave-incense,type-enhancement,10,,不思議な　香りの　御香。 持たせると　みずタイプの 技の　威力が　あがる。,有着神奇香气的薰香。 携带后，水属性的 招式威力就会提高。,An item to be held by a Pokémon. This incense has a curious aroma that boosts the power of Water-type moves.,heldItemImage/wave-incense.png
295,おはなのおこう,花朵薰香,rose-incense,type-enhancement,10,,不思議な　香りの　御香。 持たせると　くさタイプの 技の　威力が　あがる。,有着神奇香气的薰香。 携带后，草属性的 招式威力就会提高。,An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Grass-type moves.,heldItemImage/rose-incense.png
296,こううんのおこう,幸运薰香,luck-incense,training,10,,持たせた　ポケモンが　１度でも 戦闘に　顔を　だすと お金が　２倍　もらえる。,只要携带它的宝可梦 在战斗时出场一次， 就能获得２倍金钱。,An item to be held by a Pokémon. It doubles any prize money received if the holding Pokémon joins a battle.,heldItemImage/luck-incense.png
297,きよめのおこう,洁净薰香,pure-incense,training,10,,１番　前の　ポケモンに 持たせると　野生ポケモンが でて　きにくくなる。,让排在最前面的宝可梦携带后， 野生宝可梦就会不容易出现。,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the head of the party.,heldItemImage/pure-incense.png
298,プロテクター,护具,protector,evolution,80,,なにかの　プロテクター。 とても　硬くて　重い。 ある　ポケモンが　好んでいる。,某种护具。 非常坚硬而且沉重。 某种宝可梦很喜欢它。,A protective item of some sort. It is extremely stiff and heavy. It’s loved by a certain Pokémon.,heldItemImage/protector.png
299,エレキブースター,电力增幅器,electirizer,evolution,80,,とてつもない　電気の　エネルギーが 蓄えられている　箱。 ある　ポケモンが　好んでいる。,积蓄着庞大电气能量的箱子。 某种宝可梦很喜欢它。,A box packed with a tremendous amount of electric energy. It’s loved by a certain Pokémon.,heldItemImage/electirizer.png
300,マグマブースター,熔岩增幅器,magmarizer,evolution,80,,とてつもない　マグマの　エネルギーが 蓄えられている　箱。 ある　ポケモンが　好んでいる。,积蓄着庞大熔岩能量的箱子。 某种宝可梦很喜欢它。,A box packed with a tremendous amount of magma energy. It’s loved by a certain Pokémon.,heldItemImage/magmarizer.png
301,あやしいパッチ,可疑补丁,dubious-disc,evolution,50,,なかに　怪しい　情報が つまった　透明な　機械。 製作者は　不明。,内部储存了奇怪信息的透明机器。 制造者不明。,A transparent device overflowing with dubious data. Its producer is unknown.,heldItemImage/dubious-disc.png
302,れいかいのぬの,灵界之布,reaper-cloth,evolution,10,,おそろしく　強い　霊力が こめられている　布。 ある　ポケモンが　好んでいる。,蕴含着惊人强大灵力的布。 某种宝可梦很喜欢它。,A cloth imbued with horrifyingly strong spiritual energy. It’s loved by a certain Pokémon.,heldItemImage/reaper-cloth.png
303,するどいツメ,锐利之爪,razor-claw,held-items,80,,鋭く　とがった　ツメ。 持たせると　技が　急所に 当たりやすくなる。,尖锐的爪子。 携带后，招式会 变得容易击中要害。,An item to be held by a Pokémon. This sharply hooked claw increases the holder’s critical-hit ratio.,heldItemImage/razor-claw.png
304,するどいキバ,锐利之牙,razor-fang,held-items,30,flinch,鋭く　とがった　キバ。 持たせると　ダメージを　与えたとき ひるませることが　ある。,尖锐的牙齿。 携带后，在给予伤害时， 有时会让对手畏缩。,"An item to be held by a Pokémon. When the holder successfully inflicts damage, the target may also flinch.",heldItemImage/razor-fang.png
305,わざマシン０１,招式学习器０１,tm01,all-machines,,,ものすごい　力を　こめた　キックで 相手を　けとばして　攻撃する。,使出力大无穷的重踢 踢飞对手进行攻击。,The target is attacked by a kick launched with muscle-packed power.,heldItemImage/tm01.png
306,わざマシン０２,招式学习器０２,tm02,all-machines,,,相手の　体に 小判を　投げつけて　攻撃する。 戦闘の　あとで　お金が　もらえる。,向对手的身体 投掷小金币进行攻击。 战斗后可以拿到钱。,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.,heldItemImage/tm02.png
307,わざマシン０３,招式学习器０３,tm03,all-machines,,,炎を　こめた　パンチで 相手を　攻撃する。 やけど状態に　することが　ある。,帮助伙伴。 被帮助的宝可梦， 其招式威力变得比平时大。,The target is punched with a fiery fist. This may also leave the target with a burn.,heldItemImage/tm03.png
308,わざマシン０４,招式学习器０４,tm04,all-machines,,,冷気を　こめた　パンチで 相手を　攻撃する。 こおり状態に　することが　ある。,用充满寒气的拳头攻击对手。 有时会让对手陷入冰冻状态。,The target is punched with an icy fist. This may also leave the target frozen.,heldItemImage/tm04.png
309,わざマシン０５,招式学习器０５,tm05,all-machines,,,電撃を　こめた　パンチで 相手を　攻撃する。 まひ状態に　することが　ある。,用充满电流的拳头攻击对手。 有时会让对手陷入麻痹状态。,The target is punched with an electrified fist. This may also leave the target with paralysis.,heldItemImage/tm05.png
310,わざマシン０６,招式学习器０６,tm06,all-machines,,,１ターン目で　空へ　飛び ２ターン目に　相手を　攻撃する。,第１回合飞上天空， 第２回合攻击对手。,The user flies up into the sky and then strikes its target on the next turn.,heldItemImage/tm06.png
311,わざマシン０７,招式学习器０７,tm07,all-machines,,,鋭い　ハリを 相手に　発射して　攻撃する。 ２ー５回の　間　連続で　だす。,向对手发射 锐针进行攻击。 连续攻击２～５次。,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.,heldItemImage/tm07.png
312,わざマシン０８,招式学习器０８,tm08,all-machines,,,強い　光線を 相手に　発射して　攻撃する。 次の　ターンは　動けなくなる。,向对手发射 强烈的光线进行攻击。 下一回合自己将无法动弹。,The target is attacked with a powerful beam. The user can’t move on the next turn.,heldItemImage/tm08.png
313,わざマシン０９,招式学习器０９,tm09,all-machines,,,持てる　力を　すべて　使って 相手に　突撃する。 次の　ターンは　動けなくなる。,使出自己浑身力量突击对手。 下一回合自己将无法动弹。,The user charges at the target using every bit of its power. The user can’t move on the next turn.,heldItemImage/tm09.png
314,わざマシン１０,招式学习器１０,tm10,all-machines,,,相手を　追跡する 不思議な　はっぱを　まきちらす。 攻撃は　必ず　命中する。,散落可以追踪 对手的神奇叶片。 攻击必定会命中。,The user scatters curious leaves that chase the target. This attack never misses.,heldItemImage/tm10.png
315,わざマシン１１,招式学习器１１,tm11,all-machines,,,１ターン目に　光を　いっぱいに　集め ２ターン目に　光の　束を 発射して　攻撃する。,第１回合收集满满的日光， 第２回合发射光束进行攻击。,"In this two-turn attack, the user gathers light, then blasts a bundled beam on the next turn.",heldItemImage/tm11.png
316,わざマシン１２,招式学习器１２,tm12,all-machines,,,１ターン目に　光を　いっぱいに　集め ２ターン目に　その　力を 剣に　込めて　攻撃する。,第１回合收集满满的日光， 第２回合将此力量 集中在剑上进行攻击。,"In this two-turn attack, the user gathers light and fills a blade with the light’s energy, attacking the target on the next turn.",heldItemImage/tm12.png
